id,curso_id:id,omi_id:id
omi_line_1,personal_maritimo.omi_desr,personal_maritimo.omi_1_23
omi_line_2,personal_maritimo.omi_basico,personal_maritimo.omi_1_13
omi_line_3,personal_maritimo.omi_basico,personal_maritimo.omi_1_19
omi_line_4,personal_maritimo.omi_basico,personal_maritimo.omi_1_20
omi_line_5,personal_maritimo.omi_basico,personal_maritimo.omi_1_21
omi_line_6,personal_maritimo.omi_falc,personal_maritimo.omi_2_03
omi_line_7,personal_maritimo.omi_cm,personal_maritimo.omi_1_15
omi_line_8,personal_maritimo.omi_smesbr,personal_maritimo.omi_1_23
omi_line_9,personal_maritimo.omi_radar_gestion,personal_maritimo.omi_1_08
omi_line_10,personal_maritimo.omi_ggmdss,personal_maritimo.omi_1_25
omi_line_11,personal_maritimo.omi_smtep,personal_maritimo.omi_1_22
omi_line_12,personal_maritimo.omi_opb,personal_maritimo.omi_3_19
omi_line_13,personal_maritimo.omi_opb,personal_maritimo.omi_3_20
omi_line_14,personal_maritimo.omi_uosiv,personal_maritimo.omi_1_27
omi_line_15,personal_maritimo.omi_sia,personal_maritimo.omi_1_34
omi_line_16,personal_maritimo.omi_scm,personal_maritimo.omi_2_07
omi_line_17,personal_maritimo.omi_radar_operacional,personal_maritimo.omi_1_07
omi_line_18,personal_maritimo.omi_rgmdss,personal_maritimo.omi_1_26
omi_line_19,personal_maritimo.omi_cmbp,personal_maritimo.omi_1_41
omi_line_20,personal_maritimo.omi_cgcc,personal_maritimo.omi_1_42
omi_line_21,personal_maritimo.omi_spbp,personal_maritimo.omi_1_44
omi_line_22,personal_maritimo.omi_psp,personal_maritimo.omi_3_26
omi_line_23,personal_maritimo.omi_psp,personal_maritimo.omi_3_27
omi_line_24,personal_maritimo.omi_scm,personal_maritimo.omi_2_07