id,tipo_trafico_id:id,ultimo_evento
tramite.tramite_documento_218,base_sigmap.tipo_trafico_07,"Z"
tramite.tramite_documento_219,base_sigmap.tipo_trafico_01,"Z"
tramite.tramite_documento_220,base_sigmap.tipo_trafico_07,"A"
tramite.tramite_documento_221,base_sigmap.tipo_trafico_01,"A"
tramite.tramite_documento_222,base_sigmap.tipo_trafico_07,"Z"
tramite.tramite_documento_223,base_sigmap.tipo_trafico_07,"A"
tramite.tramite_documento_224,base_sigmap.tipo_trafico_07,"A"
tramite.tramite_documento_225,base_sigmap.tipo_trafico_01,"A"
tramite.tramite_documento_226,base_sigmap.tipo_trafico_07,"A"
tramite.tramite_documento_227,base_sigmap.tipo_trafico_07,"A"
tramite.tramite_documento_228,base_sigmap.tipo_trafico_07,"A"
tramite.tramite_documento_229,base_sigmap.tipo_trafico_07,"Z"